,code,title,name,verdict,confidence,guidance,source,flag_min_skills,is_seminar,flag_seminar_al,flag_seminar_sp,flag_verdict,flag_confidence,flag_missing_course_code,flag_missing_title,flag_missing_skill_name
0,CSCE 111,Introduction to Computer Science Concepts and Programming,Persuasion,Untouched,high,Genuine persuasion requires human connection and trust that AI cannot replicate. Invest in this skill.,O*NET skill: Persuasion (2.B.1.c) | AEI task presence: 0.27% of conversations | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
1,CSCE 111,Introduction to Computer Science Concepts and Programming,Speaking,Untouched,medium,Public speaking and real-time communication remain distinctly human strengths.,O*NET skill: Speaking (2.A.1.d) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
2,CSCE 111,Introduction to Computer Science Concepts and Programming,Social Perceptiveness,Untouched,high,Reading people and situations is deeply human. This skill becomes more valuable as AI handles technical tasks.,O*NET skill: Social Perceptiveness (2.B.1.a) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
3,CSCE 111,Introduction to Computer Science Concepts and Programming,Service Orientation,Untouched,high,Understanding and serving others' needs requires empathy AI cannot genuinely offer.,O*NET skill: Service Orientation (2.B.1.f) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
4,CSCE 111,Introduction to Computer Science Concepts and Programming,Active Listening,Untouched,medium,Deep listening and understanding subtext are skills AI cannot replicate.,O*NET skill: Active Listening (2.A.1.b) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
5,CSCE 120,Program Design and Concepts,Active Listening,Untouched,medium,Deep listening and understanding subtext are skills AI cannot replicate.,O*NET skill: Active Listening (2.A.1.b) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
6,CSCE 120,Program Design and Concepts,Speaking,Untouched,medium,Public speaking and real-time communication remain distinctly human strengths.,O*NET skill: Speaking (2.A.1.d) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
7,CSCE 120,Program Design and Concepts,Critical Thinking,Transforming,high,"AI can process and summarize information, but your critical analysis and reasoning remain essential. Use AI to explore more angles faster.",O*NET skill: Critical Thinking (2.A.2.a) | AEI task presence: 23.93% of conversations | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
8,CSCE 120,Program Design and Concepts,Judgment and Decision Making,Transforming,high,AI provides data and options. Your judgment in weighing trade-offs and making final decisions is the value you add.,O*NET skill: Judgment and Decision Making (2.B.4.e) | AEI task presence: 9.80% of conversations | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
9,CSCE 120,Program Design and Concepts,Reading Comprehension,Transforming,medium,AI can summarize and extract information. Focus on critical interpretation and applying insights.,O*NET skill: Reading Comprehension (2.A.1.a) | AEI task presence: 9.29% of conversations | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
10,CSCE 121,Introduction to Program Design and Concepts,Persuasion,Untouched,high,Genuine persuasion requires human connection and trust that AI cannot replicate. Invest in this skill.,O*NET skill: Persuasion (2.B.1.c) | AEI task presence: 0.27% of conversations | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
11,CSCE 121,Introduction to Program Design and Concepts,Speaking,Untouched,medium,Public speaking and real-time communication remain distinctly human strengths.,O*NET skill: Speaking (2.A.1.d) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
12,CSCE 121,Introduction to Program Design and Concepts,Social Perceptiveness,Untouched,high,Reading people and situations is deeply human. This skill becomes more valuable as AI handles technical tasks.,O*NET skill: Social Perceptiveness (2.B.1.a) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
13,CSCE 121,Introduction to Program Design and Concepts,Service Orientation,Untouched,high,Understanding and serving others' needs requires empathy AI cannot genuinely offer.,O*NET skill: Service Orientation (2.B.1.f) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
14,CSCE 121,Introduction to Program Design and Concepts,Active Listening,Untouched,medium,Deep listening and understanding subtext are skills AI cannot replicate.,O*NET skill: Active Listening (2.A.1.b) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
15,CSCE 181,Introduction to Computing,Persuasion,Untouched,high,Genuine persuasion requires human connection and trust that AI cannot replicate. Invest in this skill.,O*NET skill: Persuasion (2.B.1.c) | AEI task presence: 0.27% of conversations | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
16,CSCE 181,Introduction to Computing,Speaking,Untouched,medium,Public speaking and real-time communication remain distinctly human strengths.,O*NET skill: Speaking (2.A.1.d) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
17,CSCE 181,Introduction to Computing,Social Perceptiveness,Untouched,high,Reading people and situations is deeply human. This skill becomes more valuable as AI handles technical tasks.,O*NET skill: Social Perceptiveness (2.B.1.a) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
18,CSCE 181,Introduction to Computing,Service Orientation,Untouched,high,Understanding and serving others' needs requires empathy AI cannot genuinely offer.,O*NET skill: Service Orientation (2.B.1.f) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
19,CSCE 181,Introduction to Computing,Active Listening,Untouched,medium,Deep listening and understanding subtext are skills AI cannot replicate.,O*NET skill: Active Listening (2.A.1.b) | Anthropic Economic Index (CC-BY),False,False,False,False,False,False,False,False,False
